acfrs_original_name,census_id,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed,name,ratio,ratio_group,state
Aldine Independent School District,NA,38981,2020,School District,1730907415,1153879398,114330645,0,0,0,206674704,0,244402754,0,8142914,8122635,160538767,0,682017604,12428861,838250145,0,0,0,850679006,FALSE,aldine,2.03473625514628,1 - 5%,Texas
Aledo Independent School District,NA,45484,2020,School District,379187581,338209701,8114441,0,0,0,14949001,0,17914438,0,0,2644661,7781023,0,75114496,1638976,83901204,58621,0,0,85540180,FALSE,aledo,4.432859283204688,1 - 5%,Texas
Aleutians East Borough School District,NA,31587,2020,School District,3739064,0,139816,0,0,0,3481263,0,46169,218228,71816,97969,627523,0,8732835,827746,8630581,0,0,0,9458327,FALSE,aleutians east borough,0.39531980655775595, Below 1%,Alaska
Alexander County Board of Education,NA,36491,2020,School District,80502476,0,3145847,0,0,0,20069392,0,53901037,73739,3146660,977254,40453037,261091,13182436,1194418,53679400,0,0,261091,54873818,FALSE,alexander,1.4670471079668632,1 - 5%,North Carolina
Alexander City Board of Education,NA,30388,2020,School District,107498015,0,3595014,0,0,551120,25436000,0,10316106,0,0,1394053,22983899,980578,9769344,-2766087,37893961,0,0,0,35127874,FALSE,alexander city,3.0601913170150863,1 - 5%,Alabama
Alexander Local School District,NA,37000,2020,School District,0,1905000,0,1265000,0,475000,19009638,0,2041987,1068681,0,1871849,2148347,0,17406811,-243628,21670635,0,0,0,21427007,FALSE,alexander local,0, Below 1%,Ohio
Alexander Valley Union School District,NA,108394,2020,School District,8490181,6170660,157096,0,0,0,2005886,0,114631,0,41908,38138,366822,0,2500710,-3376,2909046,0,0,0,2905670,FALSE,alexander valley union,2.921935732550496,1 - 5%,California
Alexandria Community School Corporation,NA,43705,2020,School District,0,0,0,1394892,0,2412357,0,0,0,0,0,0,0,0,19057844,-475618,19533462,0,0,0,19057844,FALSE,alexandria community school corporation,0, Below 1%,Indiana
Alexandria Schools,NA,88652,2020,School District,358706794,0,46528586,639474,0,0,251317609,4863175,46784479,0,10045187,2010570,21815170,0,289355807,-6766922,319948469,0,0,0,313181547,FALSE,alexandria schools,1.1453637592511157,1 - 5%,Virginia
Alex School District I-56,NA,146838,2020,School District,33086112,4955000,59612,28071500,0,0,0,0,0,0,0,0,0,0,8513388,1478470,7034918,0,0,0,8513388,FALSE,alexi-,3.886362515134985,1 - 5%,Oklahoma
School District of Algoma,NA,169292,2020,School District,4770975,3649348,721627,0,0,400000,0,881144,0,307219,0,429049,1565296,0,8680923,1370475,9304793,0,0,0,10675268,FALSE,algoma,0.44691852232655893, Below 1%,Wisconsin
Algona Community School District,NA,162807,2020,School District,19254140,8150000,1835496,71394,0,0,7497096,0,1156241,0,0,2353196,2059788,189978,17882664,239789,22245837,0,0,0,22485626,FALSE,algona community,0.856286589486101, Below 1%,Iowa
Algonac Community Schools,NA,161626,2020,School District,52191056,19955662,1763964,0,0,0,24865836,0,5373518,0,232076,596295,3698475,0,15001806,1641648,17654928,0,0,0,19296576,FALSE,algonac community schools,2.704679628137137,1 - 5%,Michigan
Alhambra Elementary School District No. 68,NA,30535,2020,School District,149233240,30281639,10533618,12807634,0,0,93549430,0,0,0,2060919,2091305,23359402,3788595,91361942,-629010,121230254,0,0,0,120601244,FALSE,alhambra elementaryno,1.2374104532454075,1 - 5%,Arizona
Alhambra Unified School District,NA,145877,2020,School District,658683070,231142770,37794091,787855,0,0,223855495,0,159882460,0,1849294,4911100,95482566,8726,194405150,-22308618,317116160,35746371,1506839,0,294807542,FALSE,alhambra unified,2.2342816114249886,1 - 5%,California
Alice Independent School District,NA,39044,2020,School District,88069363,41690234,6228816,7454177,0,0,12390227,0,20305911,0,0,752975,10609498,0,48265037,-2215302,61842812,0,0,0,59627510,FALSE,alice,1.4769921299749058,1 - 5%,Texas
Alief Independent School District,NA,38982,2020,School District,791469325,346612378,78442500,0,0,0,164843644,0,191398931,0,6217816,6498551,133838968,0,438466478,-22657661,601461658,58699740,93386,0,578803997,FALSE,alief,1.3674220100453107,1 - 5%,Texas
Aline-Cleo School District I-4,NA,146840,2020,School District,1064614,885000,179614,0,0,0,0,0,0,0,0,0,0,0,3007768,258248,2749520,0,0,0,3007768,FALSE,aline-cleoi-,0.35395482630309255, Below 1%,Oklahoma
Aliquippa School District,NA,37863,2020,School District,77069264,43449685,4537499,0,0,0,25309000,0,3555407,0,217673,375089,6946344,701520,17616644,914629,24724968,0,0,0,25639597,FALSE,aliquippa,3.0058687739904806,1 - 5%,Pennsylvania
Alisal Union School District,NA,31292,2020,School District,220065645,81342704,6492671,10171847,0,0,93832821,0,27493477,0,25854,570076,24160815,984272,108888751,2190848,132413066,0,0,0,134603914,FALSE,alisal union,1.6349126742332323,1 - 5%,California
Allamakee Community School District,NA,33356,2020,School District,18208151,8370000,2826544,0,0,0,5888324,0,985365,0,29918,940720,2366270,74733,13350310,741194,15990839,0,0,0,16732033,FALSE,allamakee community,1.0882210786937845,1 - 5%,Iowa
Allegan Public Schools,NA,189916,2020,School District,95536345,26282808,2468700,0,4320969,2158057,48992936,0,10587275,0,158477,427162,4794662,0,26032936,-1450262,32705022,0,0,0,31254760,FALSE,allegan,3.0566974438453536,1 - 5%,Michigan
Allegan Area Educational Service Agency,NA,34336,2020,School District,53240522,2027727,5203620,0,0,0,37572071,0,8330614,0,106490,2612246,8248814,0,21915747,-1875606,34652413,0,0,0,32776807,FALSE,allegan area educational service agency,1.6243352197180159,1 - 5%,Michigan
Board of Education of Allegany County,NA,40339,2020,School District,41601743,0,17722218,378666,0,0,5730106,0,15387904,0,2382849,809272,23743516,615437,115441541,292387,140317379,0,0,0,140609766,FALSE,allegany,0.2958666683223127, Below 1%,Maryland
Allegany-Limestone Central School District,NA,36121,2020,School District,22658452,16469572,979987,0,0,0,1845317,1146703,2937175,0,426401,133991,1356432,877109,24114420,1515605,24966347,0,0,0,26481952,FALSE,allegany-limestone central,0.855618649259692, Below 1%,New York
Alleghany County Board of Education,NA,36493,2020,School District,25382787,0,176188,0,0,0,6615155,0,17408812,24186,1150537,726356,12733748,120319,4884024,113453,18350994,0,0,0,18464447,FALSE,alleghany,1.3746843867027265,1 - 5%,North Carolina
Allegheny-Clarion Valley School District,NA,37941,2020,School District,27888627,3389890,1763387,0,0,0,19368000,0,3159000,0,208350,1182466,4321809,0,10143989,-1227290,16875554,0,0,0,15648264,FALSE,allegheny-clarion valley,1.7822185898704164,1 - 5%,Pennsylvania
Allen County School District,NA,33611,2020,School District,48248331,26712418,700361,0,0,0,11046803,0,8658157,0,1130592,114990,6294979,2683571,28670920,-302555,38067015,0,0,0,37764460,FALSE,allen,1.277612098782824,1 - 5%,Kentucky
Allen Independent School District,NA,42639,2020,School District,805466806,636700829,34528690,0,0,0,61298798,0,72027973,0,910516,9355731,29815983,0,256026892,1104097,294094509,3509918,3,0,295198606,FALSE,allen,2.7285589756477373,1 - 5%,Texas
Allen East Local School District,NA,82445,2020,School District,0,5344670,0,0,0,0,10493446,0,914013,627218,0,1559595,1341736,0,10603425,1177950,12326806,0,0,0,13504756,FALSE,allen east local,0, Below 1%,Ohio
Allen Parish School Board,NA,33818,2020,School District,226665365,26348987,6660104,0,0,0,52374048,0,139999427,0,760991,194008,6889469,0,45014904,-9281233,61379614,0,0,0,52098381,FALSE,allen parish school board,4.3507180194332715,1 - 5%,Louisiana
Allen Park Public Schools,NA,34666,2020,School District,162694927,49925677,7151560,0,8588249,0,78913212,0,17004768,0,1111461,1020635,9312164,0,37409670,2811517,44930952,0,0,0,47742469,FALSE,allen park,3.4077610648917216,1 - 5%,Michigan
Allen Public School District No. 70,NA,196974,2020,School District,0,405000,0,0,0,0,865229,0,0,0,0,35315,347614,0,3391559,27356,3747132,0,0,0,3774488,FALSE,allen publicno,0, Below 1%,Nebraska
Allen-Bowden School District No. C-35,NA,170955,2020,School District,849784,740000,81169,28615,0,0,0,0,0,0,0,0,0,0,3370433,44402,3326031,0,0,0,3370433,FALSE,allen-bowdenno c-,0.2521290291188106, Below 1%,Oklahoma
Allendale County School District,NA,38315,2020,School District,36549889,1131347,2753746,166148,0,0,13055405,0,14497308,0,0,35687,10583859,0,9723170,4003484,16339232,0,0,0,20342716,FALSE,allendale,1.7967064476542858,1 - 5%,South Carolina
Allendale Public Schools,NA,47450,2020,School District,197687990,128111520,5494322,0,0,1002,52035342,0,11638846,0,406958,710122,9465953,0,28975516,-2743535,41895126,0,0,0,39151591,FALSE,allendale,5.049296464095163,5 - 10%,Michigan
Allen School District No. 1-1,NA,190731,2020,School District,8287386,1260000,228151,6799235,0,0,0,0,0,0,0,0,0,0,6733195,-2271,6735466,0,0,0,6733195,FALSE,allenno 1-,1.2308251877451937,1 - 5%,Oklahoma
Allensworth Elementary School District,NA,145879,2020,School District,877818,0,176145,0,0,0,700962,0,0,0,711,7056,189532,157,1204255,156585,1244415,0,0,0,1401000,FALSE,allensworth elementary,0.6265653104925053, Below 1%,California
Allentown School District,NA,38050,2020,School District,751179081,231729783,56593598,0,0,3121000,424353378,0,34461107,0,920215,271769,95677510,0,246815484,-10783042,353547805,0,0,0,342764763,FALSE,allentown,2.1915294746910727,1 - 5%,Pennsylvania
Alliance Public Schools District No. 6,NA,35467,2020,School District,122209,7115878,122209,0,0,32548,0,0,0,0,0,134197,2213982,0,18774798,2436272,18686705,0,482931,0,21122977,FALSE,alliance  district no,0.005785595467911554, Below 1%,Nebraska
Alliance City School District,NA,37252,2020,School District,60577402,5156541,5654905,733332,0,0,40913269,0,4025449,2363753,4093906,2742449,9661458,23371,34340381,-1216291,47983950,0,0,0,46767659,FALSE,alliance city,1.2952840337806946,1 - 5%,Ohio
Alma Public Schools,NA,34431,2020,School District,85098697,26687961,2830338,23548,0,2705646,42548415,0,9309384,0,993405,483912,7839370,242910,18299606,-2963356,29829154,0,0,0,26865798,FALSE,alma,3.1675477125228144,1 - 5%,Michigan
Alma Public Schools,NA,108837,2020,School District,0,55000,0,587000,0,0,1450434,0,0,0,0,62873,565666,0,5903176,399373,6132342,0,0,0,6531715,FALSE,alma,0, Below 1%,Nebraska
Alma School District No. 30,NA,223703,2020,School District,0,46935000,0,93626,0,0,24889783,0,0,0,0,0,0,0,58856009,177554,58678455,0,0,0,58856009,FALSE,almano,0, Below 1%,Arkansas
Almont Community Schools,NA,158572,2020,School District,52820128,16595260,1631555,0,0,5019017,24304277,0,5170881,0,99138,323842,2566875,0,15048467,1389780,16549404,0,0,0,17939184,FALSE,almont community schools,2.9443997006775784,1 - 5%,Michigan
Alpaugh Unified School District,NA,145880,2020,School District,5899264,0,643315,0,0,1751910,3495213,0,0,0,8826,3751,925931,4582,4649684,-247755,5831703,0,0,0,5583948,FALSE,alpaugh unified,1.0564682908938263,1 - 5%,California
Alpena Public Schools,NA,34337,2020,School District,114652873,20235221,7162033,0,0,0,71221986,0,15662279,0,111354,6213981,9012085,0,31760554,-1269074,48255694,5042130,0,0,46986620,FALSE,alpena,2.44011748450942,1 - 5%,Michigan
Alpena-Montmorency-Alcona Educational Service District,NA,34338,2020,School District,20070902,0,2652750,0,0,0,14375879,0,3042273,0,0,503944,1988483,0,8638636,-23855,11154918,0,0,0,11131063,FALSE,alpena-montmorency-alcona educational service district,1.803143329617306,1 - 5%,Michigan
Alpena School District No.5,NA,98628,2020,School District,0,650000,0,23034,0,0,3906787,0,0,0,0,0,0,0,5148433,329536,4818897,0,0,0,5148433,FALSE,alpenano,0, Below 1%,Arkansas
Alpine Independent School District,NA,44668,2020,School District,30872885,22051559,547535,220930,0,0,3277082,0,4726236,0,49543,810978,2819697,0,13731250,1035307,16326618,0,0,0,17361925,FALSE,alpine,1.7781948142271091,1 - 5%,Texas
Alpine School District,NA,39330,2020,School District,1059030997,648087149,146552046,5979882,0,0,185909219,0,66222363,0,4792707,29614652,195882899,4686677,528059534,-10714054,768957816,0,0,0,758243762,FALSE,alpine,1.396689363070553,1 - 5%,Utah
Alpine County Office of Education,NA,67002,2020,School District,1504296,0,471052,0,0,0,1006200,0,0,0,27044,0,192308,0,1287567,-232757,1712632,0,0,0,1479875,FALSE,alpine  office of education,1.0165020694315399,1 - 5%,California
Alpine County Unified School District,NA,67003,2020,School District,6088311,2519372,634810,0,0,0,2900443,0,0,0,33686,178,508772,0,2975933,-256957,3741840,0,0,0,3484883,FALSE,alpine  unified,1.7470632443040413,1 - 5%,California
Alpine Union School District,NA,44418,2020,School District,34342834,12006689,1252957,158871,0,0,15474300,0,2937074,0,139322,230608,2234180,0,17333142,2107772,17690158,0,0,0,19797930,FALSE,alpine union,1.7346679173024655,1 - 5%,California
Alsip Hazelgreen and Oak Lawn School District 126,NA,46399,2020,School District,0,0,0,0,0,0,1013595,1451141,10986760,0,0,111034,1936654,0,27354394,6823524,22578558,0,0,0,29402082,FALSE,alsip hazelgreen and oak lawn,0, Below 1%,Illinois
Alta Loma School District,NA,31378,2020,School District,143824201,60112456,10119272,0,0,0,60830493,0,12761980,0,0,657351,9321513,0,66464462,-2263842,78707168,0,0,0,76443326,FALSE,alta loma,1.8814487611384152,1 - 5%,California
Alta Vista Elementary School District,NA,145884,2020,School District,8623814,0,834479,0,0,0,6764962,0,989100,0,9894,261106,1689533,684203,6678572,922116,8391298,0,0,0,9313414,FALSE,alta vista elementary,0.9259562605076935, Below 1%,California
Alta-Aurelia Community School District,NA,52212,2020,School District,9165134,2674000,1558344,0,0,0,4320281,0,567386,0,0,849110,2118917,0,9309660,337334,11940353,130266,330707,0,12277687,FALSE,alta-aurelia community,0.7464870215375258, Below 1%,Iowa
Alta-Dutch Flat Union Elementary School District,NA,145885,2020,School District,1458111,0,28593,0,0,0,1307099,0,116423,0,5996,1377,290328,0,1214683,144727,1361661,0,0,0,1506388,FALSE,alta-dutch flat union elementary,0.9679518158668284, Below 1%,California
Altar Valley Elementary School District No. 51,NA,30596,2020,School District,6176613,0,256403,854769,0,0,4966312,0,0,0,49172,49887,1498569,58562,7802035,51347,9357706,0,0,0,9409053,FALSE,altar valley elementaryno,0.6564542680331379, Below 1%,Arizona
Altmar-Parish-Williamstown Central School District,NA,36337,2020,School District,59820440,11595000,1784306,0,0,0,2856260,1424910,44624805,0,744375,88516,2243921,331440,32565754,-1380960,36610591,0,0,0,35229631,FALSE,altmar-parish-williamstown central,1.698014946565861,1 - 5%,New York
Alto Independent School District,NA,163316,2020,School District,21097989,12729919,601445,0,0,3305000,1769638,0,2691987,0,0,32717,1710218,0,10354386,1800797,10296524,0,0,0,12097321,FALSE,alto,1.744021589573427,1 - 5%,Texas
Alton Community Unit School District 11,NA,33076,2020,School District,69769225,68189519,0,1111568,0,468138,3131790,796666,0,0,0,939137,15859621,0,89924580,7147135,99576203,0,0,0,106723338,FALSE,alton community unit,0.653739156846837, Below 1%,Illinois
Alton R-IV School District,NA,35280,2020,School District,0,0,0,0,0,0,0,0,0,0,0,225065,1836985,45578,5758650,713802,7152476,0,0,0,7866278,FALSE,alton r-iv,0, Below 1%,Missouri
School District of Altoona,NA,39970,2020,School District,27532190,18002750,2653958,0,0,3050000,0,2015775,3123419,0,702063,2801055,2597995,48457,18892128,869576,23470059,0,0,0,24339635,FALSE,altoona,1.1311669217718343,1 - 5%,Wisconsin
Altoona Area School District,NA,37887,2020,School District,318554093,119940000,23057872,0,0,0,156597387,0,14858543,0,4100291,1707725,37630692,0,71154193,-9626770,120119380,0,0,0,110492610,FALSE,altoona area,2.883035281726081,1 - 5%,Pennsylvania
Altus Independent School District 18,NA,84841,2020,School District,7882149,6000000,1216789,665360,0,0,0,0,0,0,0,0,0,0,29835877,-3096870,32932747,0,0,0,29835877,FALSE,altus,0.2641835867603288, Below 1%,Oklahoma
Alum Rock Union Elementary School District,NA,145886,2020,School District,275769189,102529781,13962863,0,0,0,140605000,0,0,0,87457,245995,28808227,0,119051008,-12512829,160618059,0,0,0,148105230,FALSE,alum rock union elementary,1.8619814371173793,1 - 5%,California
Alva School District I-1,NA,146847,2020,School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11264352,-767664,12032016,0,0,0,11264352,FALSE,alvai-,0, Below 1%,Oklahoma
Alvarado Independent School District,NA,39045,2020,School District,115457883,90543903,3104041,0,0,0,9971194,0,11838745,0,0,731512,6776283,0,38516174,-800017,46823986,0,0,0,46023969,FALSE,alvarado,2.5086468096656334,1 - 5%,Texas
Alvin Independent School District,NA,38833,2020,School District,1064966055,864585756,55071163,666536,0,0,48703230,0,93925220,0,2014150,6483304,60325829,0,322802094,27613402,361997825,0,0,0,389611227,FALSE,alvin,2.7334069995883357,1 - 5%,Texas
Alvin C. York Agricultural Institute,NA,106531,2020,School District,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372134,54265,317869,0,0,0,372134,FALSE,alvin c york agricultural institute,0, Below 1%,Tennessee
Alvord Independent School District,NA,163317,2020,School District,13045773,5920929,627193,0,0,1405000,1965815,0,3126836,0,0,296141,1224949,0,9367509,683646,10204953,0,0,0,10888599,FALSE,alvord,1.1981130905821769,1 - 5%,Texas
Alvord Unified School District,NA,145889,2020,School District,609963087,269387189,23448506,3012570,0,0,248110436,0,53177114,0,1233054,1163518,41404386,0,224807446,-19484993,286860343,8375863,0,0,267375350,FALSE,alvord unified,2.2812988818901965,1 - 5%,California
